ID,product_ID,rating,comment,reviewer
22668667,8901115,94,comment-22668667,reviewer-22668667
22668668,8901115,20,comment-22668668,reviewer-22668668
22668669,8901115,83,comment-22668669,reviewer-22668669
22668670,8901115,61,comment-22668670,reviewer-22668670
22668671,8901115,27,comment-22668671,reviewer-22668671
22668672,8901115,89,comment-22668672,reviewer-22668672
22668673,8901115,19,comment-22668673,reviewer-22668673
22668674,8901115,86,comment-22668674,reviewer-22668674
22668675,8901115,76,comment-22668675,reviewer-22668675
22668676,8901115,1,comment-22668676,reviewer-22668676
