ID,product_ID,rating,comment,reviewer
24595755,30283782,4,comment-24595755,reviewer-24595755
24595756,30283782,2,comment-24595756,reviewer-24595756
24595757,30283782,2,comment-24595757,reviewer-24595757
24595758,30283782,4,comment-24595758,reviewer-24595758
24595759,30283782,3,comment-24595759,reviewer-24595759
24595760,30283782,2,comment-24595760,reviewer-24595760
24595761,30283782,1,comment-24595761,reviewer-24595761
24595762,30283782,3,comment-24595762,reviewer-24595762
24595763,30283782,3,comment-24595763,reviewer-24595763
24595764,30283782,3,comment-24595764,reviewer-24595764
